Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
54121,Ensaio Sobre a Cegueira,José Saramago,"Saramago, José",,"=""9722110217""","=""9789722110211""",5,Editorial Caminho,Paperback,310,1998,1995,,2023/11/01,,,read,,,,1,0
23156040,"Those Who Leave and Those Who Stay (Neapolitan Novels, #3)",Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""""","=""""",5,Europa Editions,Paperback,418,2014,2013,,2023/11/01,,,read,,,,1,0
17465515,"The Story of a New Name (Neapolitan Novels, #2)",Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""""","=""""",5,Europa Editions,Paperback,471,2013,2012,,2023/11/01,,,read,,,,1,0
4865,How to Win Friends & Influence People,Dale Carnegie,"Carnegie, Dale",,"=""""","=""""",0,Gallery Books,Paperback,288,1998,1936,,2023/10/28,to-read,to-read (#3),to-read,,,,0,0
82888,Dom Casmurro,Machado de Assis,"Assis, Machado de",,"=""0850515033""","=""9780850515039""",3,Luso-Brazilian Books,Paperback,176,2005,1899,2023/10/28,2023/02/26,,,read,,,,1,0
28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""""","=""9798804636129""",0,Harper,Paperback,212,2016,2016,,2022/08/26,to-read,to-read (#2),to-read,,,,0,0
41057294,Normal People,Sally Rooney,"Rooney, Sally",,"=""1984822179""","=""9781984822178""",0,Crown,Hardcover,273,2019,2018,2022/07/30,2022/01/15,,,read,,,,1,0
36336078,"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,"Aciman, André",,"=""""","=""""",0,Atlantic Books,Paperback,248,2017,2007,,2022/01/21,to-read,to-read (#1),to-read,,,,0,0
9164740,Livro,José Luís Peixoto,"Peixoto, José Luís",,"=""9725648994""","=""9789725648995""",5,Quetzal Editores,Paperback,264,2010,2010,,2022/01/21,,,read,,,,1,0
68204,Memorial do Convento (José Saramago): Analise da Obra,Conceição Jacinto,"Jacinto, Conceição",,"=""9720401362""","=""9789720401366""",0,Porto Editora,Paperback,96,2007,,,2022/01/21,,,read,,,,1,0
1092477,A Cidade e as Serras,Eça de Queirós,"Queirós, Eça de",Carlos Reis,"=""9725681266""","=""9789725681268""",0,Verbo,Paperback,247,1992,1901,,2022/01/21,,,read,,,,1,0
19288043,Gone Girl,Gillian Flynn,"Flynn, Gillian",,"=""0307588378""","=""9780307588371""",5,Ballantine Books,Paperback,415,2014,2012,,2022/01/15,,,read,,,,1,0
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""""","=""""",5,Alfred A. Knopf,Kindle Edition,592,2006,2005,,2022/01/15,,,read,,,,1,0
38820047,Killing Commendatore,Haruki Murakami,"Murakami, Haruki",,"=""052552004X""","=""9780525520047""",4,Knopf,Hardcover,681,2018,2017,,2022/01/15,,,read,,,,1,0
