Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57693329,The World According to Color: A Cultural History,James     Fox,"Fox, James",,"=""1250278511""","=""9781250278517""",0,St. Martin's Press,Hardcover,320,2022,2022,,2024/12/17,to-read,to-read (#49),to-read,,,,0,0
29610266,White Nights,Fyodor Dostoevsky,"Dostoevsky, Fyodor",Ronald Meyer,"=""0241252083""","=""9780241252086""",0,Penguin Classics,Paperback,113,2016,1848,,2024/11/19,to-read,to-read (#48),to-read,,,,0,0
55727009,The Vanishing Act of Esme Lennox,Maggie O'Farrell,"O'Farrell, Maggie",,"=""""","=""9780755372263""",0,Headline Publishing Group,Kindle Edition,290,2006,2006,,2024/11/19,to-read,to-read (#47),to-read,,,,0,0
59777955,Notes on Heartbreak,Annie Lord,"Lord, Annie",,"=""1398705489""","=""9781398705487""",0,Trapeze,Hardcover,400,2022,2022,,2024/11/19,to-read,to-read (#46),to-read,,,,0,0
25489025,The Vegetarian,Han Kang,"Kang, Han",Deborah Smith,"=""0553448188""","=""9780553448184""",0,Hogarth,Hardcover,158,2016,2007,,2024/10/10,to-read,to-read (#45),to-read,,,,0,0
30155208,Pequenos Vigaristas,Gillian Flynn,"Flynn, Gillian",Rosa Amorim,"=""9722531794""","=""9789722531795""",0,Bertrand Editora,Hardcover,79,2016,2014,,2024/10/03,,,read,,,,1,0
207727069,A Cicatriz,Maria Francisca Gama,"Gama, Maria Francisca",,"=""9897875751""","=""9789897875755""",0,Suma de Letras / Penguin,Paperback,168,2024,2024,,2024/09/12,to-read,to-read (#44),to-read,,,,0,0
198902277,The Wedding People,Alison Espach,"Espach, Alison",,"=""""","=""""",0,Henry Holt and Company,Hardcover,367,2024,2024,,2024/09/02,to-read,to-read (#43),to-read,,,,0,0
6900,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,"Albom, Mitch",,"=""""","=""""",4,Warner,Paperback,210,2000,1997,2024/08/20,2024/08/15,,,read,,,,1,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""0743273567""","=""9780743273565""",0,Scribner,Paperback,180,2025,1925,,2024/08/15,to-read,to-read (#42),to-read,,,,0,0
200142395,En agosto nos vemos,Gabriel García Márquez,"Márquez, Gabriel García",,"=""8439743076""","=""9788439743071""",4,Random House,Hardcover,142,2024,2024,2024/07/22,2024/07/21,,,read,,,,1,0
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""""","=""""",0,Vintage Books,Paperback,296,2000,1987,,2024/07/14,to-read,to-read (#41),to-read,,,,0,0
8143909,Foster,Claire Keegan,"Keegan, Claire",,"=""0571255655""","=""9780571255658""",0,Faber & Faber,Paperback,101,2010,2010,,2024/06/25,to-read,to-read (#40),to-read,,,,0,0
31196,The Razor’s Edge,W. Somerset Maugham,"Maugham, W. Somerset",,"=""1400034205""","=""9781400034208""",0,Vintage International,Paperback,314,2003,1944,,2024/06/25,to-read,to-read (#39),to-read,,,,0,0
142492,Vile Bodies,Evelyn Waugh,"Waugh, Evelyn",,"=""0316926116""","=""9780316926119""",0,Back Bay Books,Paperback,322,1999,1930,,2024/06/25,to-read,to-read (#38),to-read,,,,0,0
6514,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,"=""""","=""""",0,Harper Perennial Modern Classics,Paperback,294,2006,1963,,2024/06/25,to-read,to-read (#37),to-read,,,,0,0
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,"=""""","=""""",0,Random House: Modern Library,Paperback,272,2004,1890,,2024/06/25,to-read,to-read (#36),to-read,,,,0,0
75555793,"Beautiful World, Where Are You",Sally Rooney,"Rooney, Sally",,"=""0571365442""","=""9780571365449""",0,Faber  Faber,Paperback,337,2023,2021,,2024/06/25,to-read,to-read (#35),to-read,,,,0,0
28243032,We Are Okay,Nina LaCour,"LaCour, Nina",,"=""0525425896""","=""9780525425892""",0,Dutton Books for Young Readers,Hardcover,236,2017,2017,,2024/06/25,to-read,to-read (#34),to-read,,,,0,0
45289222,Writers & Lovers,Lily King,"King, Lily",,"=""""","=""""",0,Grove Press,Hardcover,320,2020,2020,,2024/06/25,to-read,to-read (#33),to-read,,,,0,0
51541496,Luster,Raven Leilani,"Leilani, Raven",,"=""0374194327""","=""9780374194321""",0,"Farrar, Straus and Giroux",Hardcover,227,2020,2020,,2024/06/25,to-read,to-read (#32),to-read,,,,0,0
39927096,"Less (Arthur Less, #1)",Andrew Sean Greer,"Greer, Andrew Sean",,"=""""","=""""",0,Lee Boudreaux Books,Kindle Edition,273,2017,2017,,2024/06/25,to-read,to-read (#31),to-read,,,,0,0
46041465,Everything I Know About Love,Dolly Alderton,"Alderton, Dolly",,"=""0062968785""","=""9780062968784""",0,Harper,Hardcover,368,2020,2018,,2024/06/17,to-read,to-read (#30),to-read,,,,0,0
59339945,Joan,Katherine J. Chen,"Chen, Katherine J.",,"=""1984855808""","=""9781984855800""",0,Random House,Hardcover,368,2022,2022,,2024/06/17,to-read,to-read (#29),to-read,,,,0,0
60102361,Black Butterflies,Priscilla  Morris,"Morris, Priscilla",,"=""""","=""""",0,,Kindle Edition,256,2022,2022,,2024/06/17,to-read,to-read (#28),to-read,,,,0,0
57693411,In Defense of Witches: The Legacy of the Witch Hunts and Why Women Are Still on Trial,Mona Chollet,"Chollet, Mona","Sophie R. Lewis, Carmen Maria Machado","=""125027141X""","=""9781250271419""",0,St. Martin's Press,Hardcover,320,2022,2018,,2024/06/17,to-read,to-read (#27),to-read,,,,0,0
27209486,Modern Lovers,Emma Straub,"Straub, Emma",,"=""159463467X""","=""9781594634673""",0,Riverhead Books,Hardcover,353,2016,2016,,2024/05/20,to-read,to-read (#26),to-read,,,,0,0
57693262,Cleopatra and Frankenstein,Coco Mellors,"Mellors, Coco",,"=""1635576814""","=""9781635576818""",5,Bloomsbury Publishing,Paperback,368,2022,2022,2024/05/20,2023/12/27,,,read,,,,1,0
55425712,Marilyn: Una biografía,María Hesse,"Hesse, María",,"=""8426407773""","=""9788426407771""",0,Editorial Lumen,Hardcover,160,2020,2020,,2024/05/06,to-read,to-read (#25),to-read,,,,0,0
33597976,The Snow Child,Eowyn Ivey,"Ivey, Eowyn",,"=""""","=""""",0,"Little, Brown and Company",Kindle Edition,423,2012,2012,,2024/04/17,to-read,to-read (#24),to-read,,,,0,0
