match_method,match_score,gr_shelf,gr_title,gr_author,gr_isbn,gr_isbn13,gr_my_rating,gr_publisher,gr_binding,gr_pages,gr_year_published,gr_original_year,gr_date_read,gr_date_added,gr_bookshelves,gr_my_review,gr_read_count,gr_book_id,feira_titulo,feira_subtitulo,feira_autor,feira_isbn,feira_chancela,feira_participante,feira_stand,feira_pvp,feira_pvp_feira,feira_pvp_livro_do_dia,feira_livro_do_dia_datas,feira_cover_jpg,feira_cover_webp
possible_match,40.0,to-read,Small Worlds,Caleb Azumah Nelson,024157434X,9780241574348,0,Viking,Paperback,260,2023,2023,,2025/01/01,to-read,,0,59634120,Mar Alto,,Caleb Azumah Nelson,9789898860675,Particular,GRUPO INFINITO PARTICULAR,B09,19.45,15.56,11.67,2026-06-14,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789898860675.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789898860675.webp
possible_match,33.3,read,The Palm-Wine Drinkard,Amos Tutuola,0571049966,9780571049967,3,Faber and Faber ,Paperback,125,1977,1952,2024/12/22,2024/12/03,read,,1,944103,O Bebedor de Vinho de Palma e Seu Falecido Vianteirona Vila da Gente Morta,,Amos Tutuola,9789896718558,Tinta-da-china,TINTA-DA-CHINA,E18,17.90,14.40,14.32,2026-06-14,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789896718558.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789896718558.webp
possible_match,21.1,to-read,The Vanishing Act of Esme Lennox,Maggie O'Farrell,,9780755372263,0,Headline Publishing Group,Kindle Edition,290,2006,2006,,2024/11/19,to-read,,0,55727009,HAMNET,,"O'Farrell, Maggie",9789897831249,Relógio D’Água Editores,RELÓGIO D&#8217;ÁGUA EDITORES,A71,20.00,16.00,12.00,"2026-06-10, 2026-06-12, 2026-06-04",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897831249.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897831249.webp
possible_match,25.0,to-read,Foster,Claire Keegan,0571255655,9780571255658,0,Faber & Faber,Paperback,101,2010,2010,,2024/06/25,to-read,,0,8143909,PEQUENAS COISAS COMO ESTAS,,"Keegan, Claire",9789897832864,Relógio D’Água Editores,RELÓGIO D&#8217;ÁGUA EDITORES,A71,15.00,12.00,9.00,"2026-06-10, 2026-06-12, 2026-06-04",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897832864.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897832864.webp
possible_match,36.0,to-read,"Beautiful World, Where Are You",Sally Rooney,0571365442,9780571365449,0,Faber  Faber,Paperback,337,2023,2021,,2024/06/25,to-read,,0,75555793,"MUNDO BELO, ONDE ESTÁS",,"Rooney, Sally",9789897831805,Relógio D’Água Editores,RELÓGIO D&#8217;ÁGUA EDITORES,A72,19.00,15.00,11.00,"2026-06-10, 2026-05-28, 2026-06-04",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897831805.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897831805.webp
possible_match,41.7,to-read,We Are Okay,Nina LaCour,0525425896,9780525425892,0,Dutton Books for Young Readers,Hardcover,236,2017,2017,,2024/06/25,to-read,,0,28243032,Eu Estou Aqui,,Nina LaCour,9789897871467,SECRET SOCIETY,PENGUIN RANDOM HOUSE,E11,16.65,13.32,9.99,"2026-05-27, 2026-06-01, 2026-06-03, 2026-06-08, 2026-06-11",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897871467.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897871467.webp
possible_match,31.6,to-read,"The Maid (Molly the Maid, #1)",Nita Prose,0593356152,9780593356159,0,Ballantine Books,Hardcover,289,2022,2022,,2024/02/18,to-read,,0,55196813,A Camareira,,Nita Prose,9789722375962,Presença,"EDITORIAL PRESENÇA, S.A.",A40,19.90,13.95,11.95,"2026-05-30, 2026-06-04, 2026-06-13",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789722375962.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789722375962.webp
possible_match,38.9,to-read,Long Way Down,Jason Reynolds,1481438255,9781481438254,0,Atheneum/Caitlyn Dlouhy Books,Hardcover,306,2017,2017,,2024/02/18,to-read,,0,22552026,Olha para os Dois Lados,,Jason Reynolds,9789895643806,FÁBULA,PENGUIN RANDOM HOUSE,E08,14.95,11.96,8.97,2026-06-09,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789895643806.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789895643806.webp
possible_match,38.5,read,I'm Glad My Mom Died,Jennette McCurdy,,,4,Simon & Schuster,ebook,320,2022,2022,2024/01/11,2023/11/01,read,,1,59364173,AINDA BEM QUE A MINHA MÃE MORREU,,JENNETTE MCCURDY,9789892356778,LUA DE PAPEL,LEYA,E43,17.90,14.30,10.70,2026-05-30,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789892356778.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789892356778.webp
author_match,47.4,to-read,The Song of Achilles,Madeline Miller,,,0,Ecco,Paperback,408,2012,2011,,2023/12/23,to-read,,0,13623848,O CANTO DE AQUILES,,"Miller, Madeline",9789899027961,Minotauro,GRUPO ALMEDINA,A55,22.50,15.75,11.25,2026-06-14,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789899027961.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789899027961.webp
possible_match,35.0,read,Looking for Alaska,John  Green,1435249151,9781435249158,0,Speak,Paperback,221,2006,2005,,2023/11/01,read,,1,99561,A CULPA É DAS ESTRELAS,,JOHN GREEN,9789892320946,ASA,LEYA,H50,17.50,14.00,10.50,2026-06-04,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789892320946.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789892320946.webp
possible_match,22.2,read,Ensaio Sobre a Cegueira,José Saramago,9722110217,9789722110211,5,Editorial Caminho,Paperback,310,1998,1995,,2023/11/01,read,,1,54121,CAÍN,,JOSÉ SARAMAGO,9788420461694,ALFAGUARA,EL CORTE INGLÉS,B02,18.90,15.12,11.34,2026-05-28,,
possible_match,35.7,read,A Cidade e as Serras,Eça de Queirós,9725681266,9789725681268,0,Verbo,Paperback,247,1992,1901,,2022/01/21,read,,1,1092477,MAIAS (OS),,"Queirós, Eça de",9789896416560,Relógio D’Água Editores,RELÓGIO D&#8217;ÁGUA EDITORES,B40,11.00,8.50,6.50,"2026-05-27, 2026-06-02, 2026-06-09",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789896416560.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789896416560.webp
possible_match,23.3,read,The Book Thief,Markus Zusak,,,5,Alfred A. Knopf,Kindle Edition,592,2006,2005,,2022/01/15,read,,1,19063,A Rapariga que Roubava Livros,,Markus Zusak,9789722339070,Presença,"EDITORIAL PRESENÇA, S.A.",A40,22.90,16.05,13.75,"2026-05-31, 2026-06-05, 2026-06-14",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789722339070.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789722339070.webp
